profile,group,get_redirect_from,TypeParent,ProfileParent,cross_walk_url
Beacon,beacons,"- ""/devSpecs/Beacon/specification/""
- ""/devSpecs/Beacon/specification""
- ""/devSpecs/Beacon/""
- ""/devSpecs/Beacon""
- ""/specifications/drafts/Beacon/""
- ""/specifications/drafts/Beacon""
- ""/specifications/Beacon/""
- ""/specifications/Beacon""
- ""/profiles/Beacon/""
- ""/profiles/Beacon""",,schema:DataCatalog,https://docs.google.com/spreadsheets/d/1Hl-K9wBtp8Ys0OJxzj8SC72xDKX_OeKDSs5ioZpPfTw/
BioSample,samples,"- ""/devSpecs/BioSample/specification/""
- ""/devSpecs/BioSample/specification""
- ""/devSpecs/BioSample/""
- ""/devSpecs/BioSample""
- ""/specifications/drafts/BioSample/""
- ""/specifications/drafts/BioSample""
- ""/specifications/BioSample/""
- ""/specifications/BioSample""
- ""/profiles/BioSample/""
- ""/profiles/BioSample""",schema:BioChemEntity,bioschemastypes:BioSample,https://docs.google.com/spreadsheets/d/1kcq7fEP1sQ9zf2YRNoyUYY87ahkz4ZsnRXHEb89KiOg 
ChemicalSubstance,chemicals,"- ""/devSpecs/ChemicalSubstance/specification/""
- ""/devSpecs/ChemicalSubstance/specification""
- ""/devSpecs/ChemicalSubstance/""
- ""/devSpecs/ChemicalSubstance""
- ""/specifications/drafts/ChemicalSubstance/""
- ""/specifications/drafts/ChemicalSubstance""
- ""/specifications/ChemicalSubstance/""
- ""/specifications/ChemicalSubstance""
- ""/profiles/ChemicalSubstance/""
- ""/profiles/ChemicalSubstance""",schema:BioChemEntity,schema:ChemicalSubstance,https://docs.google.com/spreadsheets/d/1ZuJHrUwpkWACAt0De6OXhlWZ9pSRTJ1m9H954i8-FvQ/edit?ts=5bebfe78&pli=1#gid=1261485211https://docs.google.com/spreadsheets/d/1-E7IbF6Fe2uMyTpWMvthci8Lx58kXxlcz8BiXLmJTdk
BioChemEntity,,,schema:BioChemEntity,,
BioChemStructure,,,schema:BioChemEntity,,
BioChemicalReaction,,,,,
ComputationalTool,tools,"- ""devSpecs/Tool/specification""
- ""devSpecs/Tool/specification/""
- ""/devSpecs/Tool/""
- ""/specifications/drafts/Tool""
- ""/profiles/Tool/""
- ""/profiles/ComputationalTool/""
- ""/profiles/ComputationalTool/0.5-DRAFT/""
- ""/profiles/Tool/0.5-DRAFT/""",,schema:SoftwareApplication,https://docs.google.com/spreadsheets/d/1B7Ei57KSY13AFzWNNjvXnvKB5t7PxQAL7lvNOjisQ2o/edit?usp=sharing
ComputationalWorkflow,workflow,"- ""/profiles/Workflow/0.1-DRAFT-2019_02_08/""",schema:SoftwareSourceCode,bioschemastypes:ComputationalWorkflow,https://docs.google.com/spreadsheets/d/1E_wZV77rHntJ6ismn7f-Gyng3XAEGY415xNiqwoihLM/
Course,trainingmaterials,"- ""/devSpecs/Course/specification/""
- ""/devSpecs/Course/specification""
- ""/devSpecs/Course/""
- ""/devSpecs/Course""
- ""/specifications/drafts/Course/""
- ""/specifications/drafts/Course""
- ""/specifications/Course/""
- ""/specifications/Course""
- ""/profiles/Course/""
- ""/profiles/Course""",,schema:Course,https://docs.google.com/spreadsheets/d/1cQ6mDbsG_cMX2EDAN8xH6-9yMRba8-rErlPeP8HTs8A
CourseInstance,training,"- ""/devSpecs/CourseInstance/specification/""
- ""/devSpecs/CourseInstance/specification""
- ""/devSpecs/CourseInstance/""
- ""/devSpecs/CourseInstance""
- ""/specifications/drafts/CourseInstance/""
- ""/specifications/drafts/CourseInstance""
- ""/specifications/CourseInstance/""
- ""/specifications/CourseInstance""
- ""/profiles/CourseInstance/""
- ""/profiles/CourseInstance""",,schema:CourseInstance,https://docs.google.com/spreadsheets/d/1rriBGZpJYcwIHbEzwkfbhPCn3KArC6wr9DhKFpTuIiQ
